"","x"
"1",1
"2",2
"3",3
"4",4
"5",5
"6",6
"7",7
"8",8
"9",9
"10",10
"11",11
"12",12
"13",13
"14",14
"15",15
"16",16
"17",17
"18",18
"19",19
"20",20
"21",21
"22",22
"23",23
"24",24
"25",25
"26",26
"27",27
"28",28
"29",29
"30",30
"31",31
"32",32
"33",33
"34",34
"35",35
"36",36
"37",37
"38",38
"39",39
"40",40
"41",41
"42",42
"43",43
"44",44
"45",45
"46",46
"47",47
"48",48
"49",49
"50",50
"51",51
"52",52
"53",53
"54",54
"55",55
"56",56
"57",57
"58",58
"59",59
"60",60
"61",61
"62",62
"63",63
"64",64
"65",65
"66",66
"67",67
"68",68
"69",69
"70",70
"71",71
"72",72
"73",73
"74",74
"75",75
"76",76
"77",77
"78",78
"79",79
"80",80
"81",81
"82",82
"83",83
"84",84
"85",85
"86",86
"87",87
"88",88
"89",89
"90",90
"91",91
"92",92
"93",93
"94",94
"95",95
"96",96
"97",97
"98",98
"99",99
"100",100
"101",108
"102",110
"103",118
"104",119
"105",120
"106",122
"107",123
"108",124
"109",125
"110",127
"111",128
"112",129
"113",130
"114",131
"115",132
"116",133
"117",134
"118",140
"119",141
"120",142
"121",143
"122",144
"123",145
"124",146
"125",147
"126",148
"127",149
"128",150
"129",151
"130",152
"131",153
"132",154
"133",155
"134",156
"135",157
"136",158
"137",159
"138",160
"139",161
"140",162
"141",163
"142",164
"143",165
"144",168
"145",169
"146",171
"147",172
"148",174
"149",175
"150",176
"151",177
"152",178
"153",179
"154",180
"155",181
"156",182
"157",183
"158",184
"159",185
"160",186
"161",187
"162",188
"163",189
"164",190
"165",191
"166",192
"167",193
"168",194
"169",195
"170",196
"171",197
"172",201
"173",202
"174",203
"175",204
"176",205
"177",206
"178",207
"179",208
"180",218
"181",219
"182",220
"183",221
"184",222
"185",223
"186",224
"187",225
"188",226
"189",227
"190",228
"191",229
"192",230
"193",231
"194",232
"195",233
"196",234
"197",235
"198",236
"199",237
"200",238
"201",239
"202",240
"203",241
"204",243
"205",244
"206",245
"207",246
"208",247
"209",248
"210",249
"211",250
"212",251
"213",252
"214",253
"215",254
"216",262
"217",263
"218",264
"219",265
"220",266
"221",267
"222",268
"223",269
"224",270
"225",271
"226",272
"227",273
"228",284
"229",285
"230",286
"231",287
"232",288
"233",290
"234",291
"235",292
"236",293
"237",312
"238",319
"239",320
"240",321
"241",322
"242",323
"243",324
"244",325
"245",326
"246",327
"247",328
"248",329
"249",330
"250",331
"251",332
"252",333
"253",334
"254",335
"255",336
"256",338
"257",339
"258",340
"259",341
"260",342
"261",343
"262",344
"263",345
"264",346
"265",347
"266",353
"267",361
"268",362
"269",363
"270",364
"271",365
"272",366
"273",369
"274",370
"275",371
"276",382
"277",388
"278",391
"279",405
"280",406
"281",407
"282",408
"283",409
"284",410
"285",411
"286",412
"287",413
"288",414
"289",415
"290",416
"291",418
"292",419
"293",434
"294",443
"295",444
"296",445
"297",446
"298",447
"299",448
"300",449
"301",452
"302",453
"303",455
"304",456
"305",457
"306",458
"307",459
"308",463
"309",465
"310",466
"311",546
"312",547
"313",560
"314",561
"315",562
"316",570
"317",579
"318",580
"319",581
"320",582
"321",583
"322",649
"323",650
"324",651
"325",660
"326",661
"327",662
"328",663
"329",664
"330",665
"331",666
"332",677
"333",679
"334",680
"335",688
"336",695
"337",1135
"338",1136
"339",1260
"340",4061
"341",4615
"342",5081
"343",5082
"344",5969
"345",5970
"346",6224
"347",6505
"348",6506
"349",6602
"350",6743
"351",7555
"352",7789
"353",7949
"354",7950
"355",8421
"356",8445
"357",9267
"358",9323
"359",9324
"360",9661
"361",9919
"362",9920
"363",9921
"364",9922
"365",9973
